as: [922, 0.010849484002306398]
within: [5, 5.8836681140490226e-05]
number of: [5, 0.625]
confused: [5, 5.8836681140490226e-05]
death to: [5, 0.2]
artifice: [5, 5.8836681140490226e-05]
like most: [5, 0.011389521640091117]
reason for: [5, 0.13513513513513514]
for being: [5, 0.00655307994757536]
excesses: [5, 5.8836681140490226e-05]
tell a: [5, 0.20833333333333334]
feardotcom: [5, 5.8836681140490226e-05]
film by: [5, 0.008025682182985553]
entertained: [5, 5.8836681140490226e-05]
possible for: [5, 0.3125]
few minutes: [5, 0.060240963855421686]
energy and: [5, 0.23809523809523808]
wearing: [5, 5.8836681140490226e-05]
not sure: [5, 0.011467889908256881]
me to: [5, 0.07042253521126761]
improve: [5, 5.8836681140490226e-05]
sentiment and: [5, 0.5]
because it's: [5, 0.08064516129032258]
fancy: [5, 5.8836681140490226e-05]
cheese: [5, 5.8836681140490226e-05]
ends with: [5, 0.15151515151515152]
worthy of: [5, 0.5555555555555556]
west: [5, 5.8836681140490226e-05]
installment: [5, 5.8836681140490226e-05]
half-hearted: [5, 5.8836681140490226e-05]
room for: [5, 0.38461538461538464]
only way: [5, 0.024390243902439025]
unusual: [5, 5.8836681140490226e-05]
con: [5, 5.8836681140490226e-05]
what's next: [5, 0.16129032258064516]
than your: [5, 0.013089005235602094]
factor: [5, 5.8836681140490226e-05]
really care: [5, 0.038461538461538464]
much about: [5, 0.021551724137931036]
transporter: [5, 5.8836681140490226e-05]
creates: [5, 5.8836681140490226e-05]
retread of: [5, 0.4166666666666667]
sources: [5, 5.8836681140490226e-05]
executed: [5, 5.8836681140490226e-05]
pick: [5, 5.8836681140490226e-05]
radical: [5, 5.8836681140490226e-05]
continues: [5, 5.8836681140490226e-05]
substitute: [5, 5.8836681140490226e-05]
benigni's pinocchio: [5, 0.8333333333333334]
hallmark: [5, 5.8836681140490226e-05]
freddy: [5, 5.8836681140490226e-05]
fingered: [5, 5.8836681140490226e-05]
got fingered: [5, 0.22727272727272727]
don't know: [5, 0.0625]
past and: [5, 0.19230769230769232]
not in: [5, 0.011467889908256881]
performance from: [5, 0.11363636363636363]
brainless: [5, 5.8836681140490226e-05]
all but: [5, 0.014204545454545454]
bad idea: [5, 0.024271844660194174]
stage: [5, 5.8836681140490226e-05]
slack: [5, 5.8836681140490226e-05]
editing and: [5, 0.35714285714285715]
on and: [5, 0.010615711252653927]
fate: [5, 5.8836681140490226e-05]
chances: [5, 5.8836681140490226e-05]
costner: [5, 5.8836681140490226e-05]
no longer: [5, 0.018726591760299626]
mindless action: [5, 0.29411764705882354]
episodic: [5, 5.8836681140490226e-05]
u: [5, 5.8836681140490226e-05]
super: [5, 5.8836681140490226e-05]
troopers: [5, 5.8836681140490226e-05]
somewhere between: [5, 0.35714285714285715]
compassion: [5, 5.8836681140490226e-05]
thing in: [5, 0.05319148936170213]
friday after: [5, 0.38461538461538464]
after next: [5, 0.07575757575757576]
swept: [5, 5.8836681140490226e-05]
constructed: [5, 5.8836681140490226e-05]
european: [5, 5.8836681140490226e-05]
news: [5, 5.8836681140490226e-05]
since the: [5, 0.1282051282051282]
cast and: [5, 0.08196721311475409]
plot twists: [5, 0.041666666666666664]
one big: [5, 0.013850415512465374]
accessible: [5, 5.8836681140490226e-05]
dirty: [5, 5.8836681140490226e-05]
wear: [5, 5.8836681140490226e-05]
shouldn't: [5, 5.8836681140490226e-05]
deeper: [5, 5.8836681140490226e-05]
walls: [5, 5.8836681140490226e-05]
theatre: [5, 5.8836681140490226e-05]
example of: [5, 0.625]
half the: [5, 0.1282051282051282]
thumbs: [5, 5.8836681140490226e-05]
james bond: [5, 0.5555555555555556]
for me: [5, 0.00655307994757536]
creation: [5, 5.8836681140490226e-05]
saved: [5, 5.8836681140490226e-05]
pretensions: [5, 5.8836681140490226e-05]
metaphors: [5, 5.8836681140490226e-05]
jack: [5, 5.8836681140490226e-05]
laughing: [5, 5.8836681140490226e-05]
soul: [5, 5.8836681140490226e-05]
didactic: [5, 5.8836681140490226e-05]
uncertain: [5, 5.8836681140490226e-05]
by people: [5, 0.012048192771084338]
benefit: [5, 5.8836681140490226e-05]
strains: [5, 5.8836681140490226e-05]
downer: [5, 5.8836681140490226e-05]
at an: [5, 0.014749262536873156]
etc: [5, 5.8836681140490226e-05]
documentary about: [5, 0.1282051282051282]
lower: [5, 5.8836681140490226e-05]
character study: [5, 0.06756756756756757]
hey arnold: [5, 0.5555555555555556]
failing: [5, 5.8836681140490226e-05]
video and: [5, 0.09259259259259259]
haven't seen: [5, 0.5555555555555556]
turkey: [5, 5.8836681140490226e-05]
would've: [5, 5.8836681140490226e-05]
treats: [5, 5.8836681140490226e-05]
natural: [5, 5.8836681140490226e-05]
chest: [5, 5.8836681140490226e-05]
on earth: [5, 0.010615711252653927]
nothing new: [5, 0.04132231404958678]
you're watching: [5, 0.08771929824561403]
was made: [5, 0.03496503496503497]
far less: [5, 0.07042253521126761]
ambitions: [5, 5.8836681140490226e-05]
do not: [5, 0.05319148936170213]
real deal: [5, 0.0847457627118644]
be to: [5, 0.009615384615384616]
decide: [5, 5.8836681140490226e-05]
stylized: [5, 5.8836681140490226e-05]
writer/director: [5, 5.8836681140490226e-05]
told by: [5, 0.3333333333333333]
scares: [5, 5.8836681140490226e-05]
but her: [5, 0.005847953216374269]
set of: [5, 0.1388888888888889]
uncomfortably: [5, 5.8836681140490226e-05]
watched: [5, 5.8836681140490226e-05]
comedy that's: [5, 0.031055900621118012]
dynamic: [5, 5.8836681140490226e-05]
through a: [5, 0.046296296296296294]
frantic: [5, 5.8836681140490226e-05]
itself to: [5, 0.07575757575757576]
than anything: [5, 0.013089005235602094]
voices: [5, 5.8836681140490226e-05]
you with: [5, 0.01256281407035176]
doesn't do: [5, 0.032679738562091505]
set in: [5, 0.1388888888888889]
warmed-over: [5, 5.8836681140490226e-05]
tone and: [5, 0.25]
inconsistent: [5, 5.8836681140490226e-05]
paint: [5, 5.8836681140490226e-05]
perspective: [5, 5.8836681140490226e-05]
due to: [5, 0.625]
heartfelt: [5, 5.8836681140490226e-05]
unfortunate: [5, 5.8836681140490226e-05]
anthony hopkins: [5, 0.8333333333333334]
hampered by: [5, 0.8333333333333334]
cobbled: [5, 5.8836681140490226e-05]
efforts of: [5, 0.4166666666666667]
rejected: [5, 5.8836681140490226e-05]
fitfully: [5, 5.8836681140490226e-05]
patience: [5, 5.8836681140490226e-05]
required to: [5, 0.7142857142857143]
insightful: [5, 5.8836681140490226e-05]
by this: [5, 0.012048192771084338]
unwatchable: [5, 5.8836681140490226e-05]
thrills and: [5, 0.3125]
letting: [5, 5.8836681140490226e-05]
have done: [5, 0.013736263736263736]
island: [5, 5.8836681140490226e-05]
john q: [5, 0.125]
slip: [5, 5.8836681140490226e-05]
professional: [5, 5.8836681140490226e-05]
eastwood: [5, 5.8836681140490226e-05]
what to: [5, 0.026595744680851064]
manhattan: [5, 5.8836681140490226e-05]
cgi: [5, 5.8836681140490226e-05]
costume: [5, 5.8836681140490226e-05]
tv series: [5, 0.125]
bad but: [5, 0.024271844660194174]
described: [5, 5.8836681140490226e-05]
described as: [5, 1.0]
itself too: [5, 0.07575757575757576]
kids': [5, 5.8836681140490226e-05]
pacing and: [5, 0.25]
infomercial: [5, 5.8836681140490226e-05]
flat as: [5, 0.13157894736842105]
never again: [5, 0.03289473684210526]
manage: [5, 5.8836681140490226e-05]
serves as: [5, 0.625]
you're not: [5, 0.08771929824561403]
at your: [5, 0.014749262536873156]
nevertheless: [5, 5.8836681140490226e-05]
gotten: [5, 5.8836681140490226e-05]
praise: [5, 5.8836681140490226e-05]
have gotten: [5, 0.013736263736263736]
every bit: [5, 0.043859649122807015]
11: [5, 5.8836681140490226e-05]
demanding: [5, 5.8836681140490226e-05]
everything else: [5, 0.11904761904761904]
that's too: [5, 0.056179775280898875]
tom green: [5, 0.38461538461538464]
condition: [5, 5.8836681140490226e-05]
heavily: [5, 5.8836681140490226e-05]
momentum: [5, 5.8836681140490226e-05]
stand-up: [5, 5.8836681140490226e-05]
key: [5, 5.8836681140490226e-05]
sorority boys: [5, 0.8333333333333334]
rambling: [5, 5.8836681140490226e-05]
advantage: [5, 5.8836681140490226e-05]
succumbs: [5, 5.8836681140490226e-05]
succumbs to: [5, 1.0]
sure to: [5, 0.19230769230769232]
relationships: [5, 5.8836681140490226e-05]
quentin: [5, 5.8836681140490226e-05]
rooting: [5, 5.8836681140490226e-05]
unsatisfying: [5, 5.8836681140490226e-05]
come from: [5, 0.09090909090909091]
be called: [5, 0.009615384615384616]
wholly: [5, 5.8836681140490226e-05]
responsible: [5, 5.8836681140490226e-05]
grief: [5, 5.8836681140490226e-05]
neat: [5, 5.8836681140490226e-05]
what they: [5, 0.026595744680851064]
exposition: [5, 5.8836681140490226e-05]
veers: [5, 5.8836681140490226e-05]
had been: [5, 0.07575757575757576]
father: [5, 5.8836681140490226e-05]
street: [5, 5.8836681140490226e-05]
paper-thin: [5, 5.8836681140490226e-05]
happy: [5, 5.8836681140490226e-05]
halfway through: [5, 0.5555555555555556]
sentimentality and: [5, 0.3125]
abandon: [5, 5.8836681140490226e-05]
doesn't really: [5, 0.032679738562091505]
has some: [5, 0.015151515151515152]
juvenile: [4, 4.7069344912392185e-05]
could possibly: [4, 0.034782608695652174]
would make: [4, 0.02702702702702703]
treatment of: [4, 0.4444444444444444]
opaque: [4, 4.7069344912392185e-05]
audience's: [4, 4.7069344912392185e-05]
give the: [4, 0.125]
farcical: [4, 4.7069344912392185e-05]
unfortunately the: [4, 0.16666666666666666]
mess that: [4, 0.09090909090909091]
improvised: [4, 4.7069344912392185e-05]
cutting: [4, 4.7069344912392185e-05]
lies: [4, 4.7069344912392185e-05]
notice: [4, 4.7069344912392185e-05]
unlikely: [4, 4.7069344912392185e-05]
basis: [4, 4.7069344912392185e-05]
unlikely to: [4, 1.0]
nothing here: [4, 0.03305785123966942]
seems as: [4, 0.047058823529411764]
along with: [4, 0.14814814814814814]
movie only: [4, 0.005277044854881266]
execution is: [4, 0.23529411764705882]
we can: [4, 0.03669724770642202]
pale: [4, 4.7069344912392185e-05]
studios: [4, 4.7069344912392185e-05]
firmly: [4, 4.7069344912392185e-05]
exciting as: [4, 0.3076923076923077]
as all: [4, 0.004338394793926247]
i've seen: [4, 0.26666666666666666]
infantile: [4, 4.7069344912392185e-05]
go back: [4, 0.06153846153846154]
useless: [4, 4.7069344912392185e-05]
brutal: [4, 4.7069344912392185e-05]
smile: [4, 4.7069344912392185e-05]
he makes: [4, 0.029197080291970802]
performances by: [4, 0.0851063829787234]
matinee: [4, 4.7069344912392185e-05]
though the: [4, 0.058823529411764705]
takes place: [4, 0.08]
around the: [4, 0.10810810810810811]
waters: [4, 4.7069344912392185e-05]
swings: [4, 4.7069344912392185e-05]
analyze that: [4, 0.6666666666666666]
continuity: [4, 4.7069344912392185e-05]
closing: [4, 4.7069344912392185e-05]
excuse to: [4, 0.3076923076923077]
stinks: [4, 4.7069344912392185e-05]
self-consciously: [4, 4.7069344912392185e-05]
achievement: [4, 4.7069344912392185e-05]
an easy: [4, 0.007054673721340388]
except for: [4, 0.19047619047619047]
imagine the: [4, 0.15384615384615385]
an odd: [4, 0.007054673721340388]
bones: [4, 4.7069344912392185e-05]
elsewhere: [4, 4.7069344912392185e-05]
fans will: [4, 0.10810810810810811]
sugary: [4, 4.7069344912392185e-05]
relative: [4, 4.7069344912392185e-05]
being trapped: [4, 0.0449438202247191]
frustratingly: [4, 4.7069344912392185e-05]
belt: [4, 4.7069344912392185e-05]
find the: [4, 0.07142857142857142]
virtues: [4, 4.7069344912392185e-05]
hasn't been: [4, 0.25]
too slow: [4, 0.010958904109589041]
pluto: [4, 4.7069344912392185e-05]
nash: [4, 4.7069344912392185e-05]
stinker: [4, 4.7069344912392185e-05]
fade: [4, 4.7069344912392185e-05]
actors in: [4, 0.08333333333333333]
amid the: [4, 0.6666666666666666]
reel: [4, 4.7069344912392185e-05]
desire to: [4, 0.8]
hotel: [4, 4.7069344912392185e-05]
meditation on: [4, 0.8]
award: [4, 4.7069344912392185e-05]
one can: [4, 0.0110803324099723]
rhythms: [4, 4.7069344912392185e-05]
more to: [4, 0.009615384615384616]
ironically: [4, 4.7069344912392185e-05]
story which: [4, 0.01818181818181818]
offer any: [4, 0.2222222222222222]
philip: [4, 4.7069344912392185e-05]
meet: [4, 4.7069344912392185e-05]
contemporary: [4, 4.7069344912392185e-05]
allow: [4, 4.7069344912392185e-05]
no point: [4, 0.0149812734082397]
humorous: [4, 4.7069344912392185e-05]
tediously: [4, 4.7069344912392185e-05]
they can: [4, 0.032520325203252036]
almost as: [4, 0.05405405405405406]
day is: [4, 0.14814814814814814]
muster: [4, 4.7069344912392185e-05]
touches: [4, 4.7069344912392185e-05]
knockaround: [4, 4.7069344912392185e-05]
knockaround guys: [4, 1.0]
expects: [4, 4.7069344912392185e-05]
people to: [4, 0.04819277108433735]
foolish: [4, 4.7069344912392185e-05]
ice age: [4, 0.4]
have some: [4, 0.01098901098901099]
seen this: [4, 0.08]
terminally: [4, 4.7069344912392185e-05]
problematic: [4, 4.7069344912392185e-05]
lo: [4, 4.7069344912392185e-05]
earn: [4, 4.7069344912392185e-05]
box: [4, 4.7069344912392185e-05]
office: [4, 4.7069344912392185e-05]
share of: [4, 0.5714285714285714]
more from: [4, 0.009615384615384616]
makers of: [4, 0.5]
curious: [4, 4.7069344912392185e-05]
be one: [4, 0.007692307692307693]
drink: [4, 4.7069344912392185e-05]
twice as: [4, 0.4444444444444444]
caught: [4, 4.7069344912392185e-05]
dishonest: [4, 4.7069344912392185e-05]
mike: [4, 4.7069344912392185e-05]
myers: [4, 4.7069344912392185e-05]
wouldn't be: [4, 0.3333333333333333]
conceit: [4, 4.7069344912392185e-05]
promise of: [4, 0.2857142857142857]
motivated: [4, 4.7069344912392185e-05]
action hero: [4, 0.03773584905660377]
textbook: [4, 4.7069344912392185e-05]
horse: [4, 4.7069344912392185e-05]
saga: [4, 4.7069344912392185e-05]
an awful: [4, 0.007054673721340388]
except that: [4, 0.19047619047619047]
minutes and: [4, 0.04040404040404041]
when i: [4, 0.025806451612903226]
soldiers: [4, 4.7069344912392185e-05]
remembered: [4, 4.7069344912392185e-05]
gentle: [4, 4.7069344912392185e-05]
more often: [4, 0.009615384615384616]
double: [4, 4.7069344912392185e-05]
greek: [4, 4.7069344912392185e-05]
wedding: [4, 4.7069344912392185e-05]
time you: [4, 0.022099447513812154]
you've been: [4, 0.13333333333333333]
high-tech: [4, 4.7069344912392185e-05]
effects that: [4, 0.12121212121212122]
hawk: [4, 4.7069344912392185e-05]
k-19: [4, 4.7069344912392185e-05]
importance: [4, 4.7069344912392185e-05]
pulled: [4, 4.7069344912392185e-05]
life into: [4, 0.05194805194805195]
or two: [4, 0.012121212121212121]
real life: [4, 0.06779661016949153]
but there: [4, 0.004678362573099415]
for them: [4, 0.005242463958060288]
found myself: [4, 0.21052631578947367]
todd: [4, 4.7069344912392185e-05]
treads: [4, 4.7069344912392185e-05]
passable: [4, 4.7069344912392185e-05]
making it: [4, 0.09302325581395349]
too silly: [4, 0.010958904109589041]
its target: [4, 0.006289308176100629]
bogged: [4, 4.7069344912392185e-05]
bogged down: [4, 1.0]
good stuff: [4, 0.0223463687150838]
clean: [4, 4.7069344912392185e-05]
it's simply: [4, 0.007207207207207207]
viewers will: [4, 0.13333333333333333]
throughout the: [4, 0.4]
expecting: [4, 4.7069344912392185e-05]
chiller: [4, 4.7069344912392185e-05]
dubbed: [4, 4.7069344912392185e-05]
dialogue is: [4, 0.0625]
road-trip: [4, 4.7069344912392185e-05]
cleverness: [4, 4.7069344912392185e-05]
or any: [4, 0.012121212121212121]
jersey: [4, 4.7069344912392185e-05]
clarity: [4, 4.7069344912392185e-05]
favors: [4, 4.7069344912392185e-05]
having a: [4, 0.2]
don't have: [4, 0.05]
as predictable: [4, 0.004338394793926247]
predictable as: [4, 0.08333333333333333]
well in: [4, 0.0449438202247191]
vital: [4, 4.7069344912392185e-05]
jim: [4, 4.7069344912392185e-05]
milieu: [4, 4.7069344912392185e-05]
gaghan: [4, 4.7069344912392185e-05]
sham: [4, 4.7069344912392185e-05]
prevents: [4, 4.7069344912392185e-05]
firing: [4, 4.7069344912392185e-05]
robert de: [4, 0.25]
determination: [4, 4.7069344912392185e-05]
determination to: [4, 1.0]
true to: [4, 0.14285714285714285]
tone that: [4, 0.2]
h g: [4, 0.6666666666666666]
take a: [4, 0.0851063829787234]
but you: [4, 0.004678362573099415]
sticky: [4, 4.7069344912392185e-05]
3000: [4, 4.7069344912392185e-05]
i'm sure: [4, 0.13793103448275862]
ever seen: [4, 0.06666666666666667]
rescue: [4, 4.7069344912392185e-05]
struggle: [4, 4.7069344912392185e-05]
can tell: [4, 0.023391812865497075]
idiocy: [4, 4.7069344912392185e-05]
front of: [4, 0.8]
for something: [4, 0.005242463958060288]
more in: [4, 0.009615384615384616]
off-putting: [4, 4.7069344912392185e-05]
isn't it: [4, 0.034482758620689655]
too predictable: [4, 0.010958904109589041]
film does: [4, 0.006420545746388443]
deliver a: [4, 0.4]
astonishing: [4, 4.7069344912392185e-05]
incompetent: [4, 4.7069344912392185e-05]
quirks: [4, 4.7069344912392185e-05]
settles into: [4, 0.5]
require: [4, 4.7069344912392185e-05]
won't be: [4, 0.16]
but even: [4, 0.004678362573099415]
falls victim: [4, 0.125]
victim to: [4, 0.6666666666666666]
turned out: [4, 0.3333333333333333]
drowned: [4, 4.7069344912392185e-05]
handsome: [4, 4.7069344912392185e-05]
overall the: [4, 0.19047619047619047]
there's an: [4, 0.029197080291970802]
doses: [4, 4.7069344912392185e-05]
go this: [4, 0.06153846153846154]
entertaining but: [4, 0.14285714285714285]
source material: [4, 0.5714285714285714]
scripted: [4, 4.7069344912392185e-05]
story in: [4, 0.01818181818181818]
witness: [4, 4.7069344912392185e-05]
while it: [4, 0.041666666666666664]
spielberg: [4, 4.7069344912392185e-05]
right to: [4, 0.0851063829787234]
how long: [4, 0.03773584905660377]
saving private: [4, 0.5]
first time: [4, 0.06451612903225806]
fault: [4, 4.7069344912392185e-05]
no good: [4, 0.0149812734082397]
birthday: [4, 4.7069344912392185e-05]
focus on: [4, 0.26666666666666666]
movie so: [4, 0.005277044854881266]
one but: [4, 0.0110803324099723]
for about: [4, 0.005242463958060288]
american pie: [4, 0.1]
squarely: [4, 4.7069344912392185e-05]
visible: [4, 4.7069344912392185e-05]
are few: [4, 0.011111111111111112]
harm: [4, 4.7069344912392185e-05]
be better: [4, 0.007692307692307693]
lights: [4, 4.7069344912392185e-05]
much time: [4, 0.017241379310344827]
plot but: [4, 0.03333333333333333]
read the: [4, 0.4444444444444444]
shrewd: [4, 4.7069344912392185e-05]
doesn't mean: [4, 0.026143790849673203]
trademark: [4, 4.7069344912392185e-05]
plays out: [4, 0.08888888888888889]
mugging: [4, 4.7069344912392185e-05]
snappy: [4, 4.7069344912392185e-05]
cerebral: [4, 4.7069344912392185e-05]
were it: [4, 0.05063291139240506]
needed to: [4, 0.4444444444444444]
oedekerk: [4, 4.7069344912392185e-05]
appreciate: [4, 4.7069344912392185e-05]
motion picture: [4, 0.5714285714285714]
spot: [4, 4.7069344912392185e-05]
messy: [4, 4.7069344912392185e-05]
aims: [4, 4.7069344912392185e-05]
then you: [4, 0.058823529411764705]
compendium: [4, 4.7069344912392185e-05]
coffee: [4, 4.7069344912392185e-05]
loaded: [4, 4.7069344912392185e-05]
squeeze: [4, 4.7069344912392185e-05]
loaded with: [4, 1.0]
formulaic and: [4, 0.2]
interesting than: [4, 0.0547945205479452]
monster movie: [4, 0.2857142857142857]
turgid: [4, 4.7069344912392185e-05]
mystery that: [4, 0.16]
film would: [4, 0.006420545746388443]
everybody: [4, 4.7069344912392185e-05]
throw: [4, 4.7069344912392185e-05]
winning: [4, 4.7069344912392185e-05]
but by: [4, 0.004678362573099415]
irwin: [4, 4.7069344912392185e-05]
portray: [4, 4.7069344912392185e-05]
types: [4, 4.7069344912392185e-05]
just seems: [4, 0.013793103448275862]
seems like: [4, 0.047058823529411764]
than one: [4, 0.010471204188481676]
fart: [4, 4.7069344912392185e-05]
stereotypical: [4, 4.7069344912392185e-05]
mtv: [4, 4.7069344912392185e-05]
epps: [4, 4.7069344912392185e-05]
funny moments: [4, 0.0392156862745098]
shallow and: [4, 0.25]
brian: [4, 4.7069344912392185e-05]
innocuous: [4, 4.7069344912392185e-05]
glorified: [4, 4.7069344912392185e-05]
qualities: [4, 4.7069344912392185e-05]
stays: [4, 4.7069344912392185e-05]
good actors: [4, 0.0223463687150838]
worst movie: [4, 0.07692307692307693]
existence: [4, 4.7069344912392185e-05]
promisingly: [4, 4.7069344912392185e-05]
element: [4, 4.7069344912392185e-05]
element of: [4, 1.0]
suffering: [4, 4.7069344912392185e-05]
who wrote: [4, 0.021621621621621623]
go down: [4, 0.06153846153846154]
grab: [4, 4.7069344912392185e-05]
decided: [4, 4.7069344912392185e-05]
or that: [4, 0.012121212121212121]
your watch: [4, 0.031007751937984496]
filmmakers have: [4, 0.11764705882352941]
throwaway: [4, 4.7069344912392185e-05]
zero: [4, 4.7069344912392185e-05]
children and: [4, 0.19047619047619047]
be disappointed: [4, 0.007692307692307693]
dressed: [4, 4.7069344912392185e-05]
well made: [4, 0.0449438202247191]
amazingly: [4, 4.7069344912392185e-05]
decades: [4, 4.7069344912392185e-05]
about all: [4, 0.010810810810810811]
/ and: [4, 0.4444444444444444]
erratic: [4, 4.7069344912392185e-05]
touching: [4, 4.7069344912392185e-05]
pile of: [4, 0.4444444444444444]
spots: [4, 4.7069344912392185e-05]
closer: [4, 4.7069344912392185e-05]
graceless: [4, 4.7069344912392185e-05]
woman's: [4, 4.7069344912392185e-05]
air of: [4, 0.3333333333333333]
thing's: [4, 4.7069344912392185e-05]
so poorly: [4, 0.011560693641618497]
philosophical: [4, 4.7069344912392185e-05]
generating: [4, 4.7069344912392185e-05]
não: [4, 4.7069344912392185e-05]
em: [4, 4.7069344912392185e-05]
guy ritchie: [4, 0.16666666666666666]
comedy in: [4, 0.024844720496894408]
cutesy: [4, 4.7069344912392185e-05]
out its: [4, 0.01818181818181818]
leading: [4, 4.7069344912392185e-05]
climax: [4, 4.7069344912392185e-05]
scarcely: [4, 4.7069344912392185e-05]
takes its: [4, 0.08]
clever but: [4, 0.10810810810810811]
device: [4, 4.7069344912392185e-05]
service: [4, 4.7069344912392185e-05]
by his: [4, 0.00963855421686747]
unmemorable: [4, 4.7069344912392185e-05]
weighs: [4, 4.7069344912392185e-05]
written by: [4, 0.2]
brilliance: [4, 4.7069344912392185e-05]
w: [4, 4.7069344912392185e-05]
action-comedy: [4, 4.7069344912392185e-05]
seeming: [4, 4.7069344912392185e-05]
legged: [4, 4.7069344912392185e-05]
eight legged: [4, 0.5714285714285714]
legged freaks: [4, 1.0]
presented: [4, 4.7069344912392185e-05]
hugh: [4, 4.7069344912392185e-05]
worn: [4, 4.7069344912392185e-05]
threadbare: [4, 4.7069344912392185e-05]
sucks: [4, 4.7069344912392185e-05]
it's almost: [4, 0.007207207207207207]
purpose and: [4, 0.25]
found in: [4, 0.21052631578947367]
movements: [4, 4.7069344912392185e-05]
had more: [4, 0.06060606060606061]
crime drama: [4, 0.17391304347826086]
crossed: [4, 4.7069344912392185e-05]
strike: [4, 4.7069344912392185e-05]
has one: [4, 0.012121212121212121]
sucked: [4, 4.7069344912392185e-05]
effects and: [4, 0.12121212121212122]
you're going: [4, 0.07017543859649122]
they'll: [4, 4.7069344912392185e-05]
be too: [4, 0.007692307692307693]
leaves you: [4, 0.14814814814814814]
half past: [4, 0.10256410256410256]
past dead: [4, 0.15384615384615385]
theatrical release: [4, 0.6666666666666666]
watch the: [4, 0.08163265306122448]
'60s: [4, 4.7069344912392185e-05]
universal: [4, 4.7069344912392185e-05]
whether it: [4, 0.15384615384615385]
work as: [4, 0.041237113402061855]
been the: [4, 0.023668639053254437]
fairy tale: [4, 0.8]
authenticity: [4, 4.7069344912392185e-05]
besides: [4, 4.7069344912392185e-05]
waterlogged: [4, 4.7069344912392185e-05]
incoherence: [4, 4.7069344912392185e-05]
zone: [4, 4.7069344912392185e-05]
attract: [4, 4.7069344912392185e-05]
powerful: [4, 4.7069344912392185e-05]
clayburgh: [4, 4.7069344912392185e-05]
tambor: [4, 4.7069344912392185e-05]
as far: [4, 0.004338394793926247]
far as: [4, 0.056338028169014086]
pretty much: [4, 0.09302325581395349]
same way: [4, 0.05970149253731343]
scenes of: [4, 0.07692307692307693]
enjoyed: [4, 4.7069344912392185e-05]
scenic: [4, 4.7069344912392185e-05]
both the: [4, 0.0851063829787234]
gets off: [4, 0.06779661016949153]
even less: [4, 0.019801980198019802]
good to: [4, 0.0223463687150838]
pandering: [4, 4.7069344912392185e-05]
he can: [4, 0.029197080291970802]
was as: [4, 0.027972027972027972]
isn't even: [4, 0.034482758620689655]
being the: [4, 0.0449438202247191]
variation: [4, 4.7069344912392185e-05]
premise but: [4, 0.0851063829787234]
but only: [4, 0.004678362573099415]
contest: [4, 4.7069344912392185e-05]
likely be: [4, 0.1111111111111111]
be so: [4, 0.007692307692307693]
earnest and: [4, 0.18181818181818182]
i hate: [4, 0.014035087719298246]
it's one: [4, 0.007207207207207207]
actor's: [4, 4.7069344912392185e-05]
billy: [4, 4.7069344912392185e-05]
desired: [4, 4.7069344912392185e-05]
15: [4, 4.7069344912392185e-05]
can imagine: [4, 0.023391812865497075]
irrelevant: [4, 4.7069344912392185e-05]
with one: [4, 0.005908419497784343]
sin: [4, 4.7069344912392185e-05]
an episode: [4, 0.007054673721340388]
they'd: [4, 4.7069344912392185e-05]
conviction: [4, 4.7069344912392185e-05]
spring: [4, 4.7069344912392185e-05]
no new: [4, 0.0149812734082397]
an uneasy: [4, 0.007054673721340388]
partly: [4, 4.7069344912392185e-05]
away in: [4, 0.1]
unlike: [4, 4.7069344912392185e-05]
escapism: [4, 4.7069344912392185e-05]
one in: [4, 0.0110803324099723]
women and: [4, 0.15384615384615385]
routines: [4, 4.7069344912392185e-05]
steven seagal: [4, 0.36363636363636365]
pretentious mess: [4, 0.1111111111111111]
reveals: [4, 4.7069344912392185e-05]
but at: [4, 0.004678362573099415]
sand: [4, 4.7069344912392185e-05]
got a: [4, 0.18181818181818182]
be on: [4, 0.007692307692307693]
long before: [4, 0.037037037037037035]
compare: [4, 4.7069344912392185e-05]
if i: [4, 0.014652014652014652]
by half: [4, 0.00963855421686747]
christian: [4, 4.7069344912392185e-05]
new best: [4, 0.041666666666666664]
absurdity: [4, 4.7069344912392185e-05]
childhood: [4, 4.7069344912392185e-05]
dark satire: [4, 0.13333333333333333]
satire and: [4, 0.18181818181818182]
detail: [4, 4.7069344912392185e-05]
aside from: [4, 0.36363636363636365]
emphasis: [4, 4.7069344912392185e-05]
been more: [4, 0.023668639053254437]
had the: [4, 0.06060606060606061]
needlessly: [4, 4.7069344912392185e-05]
open: [4, 4.7069344912392185e-05]
i thought: [4, 0.014035087719298246]
barrel: [4, 4.7069344912392185e-05]
letter: [4, 4.7069344912392185e-05]
canned: [4, 4.7069344912392185e-05]
stick: [4, 4.7069344912392185e-05]
he's a: [4, 0.13333333333333333]
its stars: [4, 0.006289308176100629]
say this: [4, 0.08163265306122448]
fuzzy: [4, 4.7069344912392185e-05]
tiresomely: [4, 4.7069344912392185e-05]
whether or: [4, 0.15384615384615385]
wind up: [4, 0.8]
apart from: [4, 0.36363636363636365]
idiotic: [4, 4.7069344912392185e-05]
social commentary: [4, 0.2]
depends: [4, 4.7069344912392185e-05]
lucky: [4, 4.7069344912392185e-05]
some sort: [4, 0.023529411764705882]
prime: [4, 4.7069344912392185e-05]
or for: [4, 0.012121212121212121]
take on: [4, 0.0851063829787234]
